,Author,Book
"He can run faster than severus snape confronted with shampoo. ― j.k. rowling, harry potter and the deathly hallows"," j.k. rowling, harry potter and the deathly hallows", harry potter and the deathly hallows
A good friend will always stab you in the front. ― oscar wilde, oscar wilde,no book found
May you live every day of your life. ― jonathan swift, jonathan swift,no book found
"When you're in jail, a good friend will be trying to bail you out. a best friend will be in the cell next to you saying, 'damn, that was fun'. ― groucho marx", groucho marx,no book found
"And now i’m looking at you, he said, and you’re asking me if i still want you, as if i could stop loving you. as if i would want to give up the thing that makes me stronger than anything else ever has. i never dared give much of myself to anyone before – bits of myself to the lightwoods, to isabelle and alec, but it took years to do it – but, clary, since the first time i saw you, i have belonged to you completely. i still do. if you want me. ― cassandra clare, city of glass"," cassandra clare, city of glass", city of glass
"Those who believe in telekinetics, raise my hand. ― kurt vonnegut", kurt vonnegut,no book found
"Some humans would do anything to see if it was possible to do it. if you put a large switch in some cave somewhere, with a sign on it saying 'end-of-the-world switch. please do not touch', the paint wouldn't even have time to dry. ― terry pratchett, thief of time"," terry pratchett, thief of time", thief of time
"For instance, on the planet earth, man had always assumed that he was more intelligent than dolphins because he had achieved so much—the wheel, new york, wars and so on—whilst all the dolphins had ever done was muck about in the water having a good time. but conversely, the dolphins had always believed that they were far more intelligent than man—for precisely the same reasons. ― douglas adams, the hitchhiker’s guide to the galaxy"," douglas adams, the hitchhiker’s guide to the galaxy", the hitchhiker’s guide to the galaxy
"Whatever you are, be a good one. ― abraham lincoln", abraham lincoln,no book found
"Be kind, for everyone you meet is fighting a harder battle. ― plato", plato,no book found
"I wanted a perfect ending. now i've learned, the hard way, that some poems don't rhyme, and some stories don't have a clear beginning, middle, and end. life is about not knowing, having to change, taking the moment and making the best of it, without knowing what's going to happen next. delicious ambiguity. ― gilda radner", gilda radner,no book found
When you are courting a nice girl an hour seems like a second. when you sit on a red-hot cinder a second seems like an hour. that's relativity. ― albert einstein, albert einstein,no book found
There's a fine line between genius and insanity. i have erased this line. ― oscar levant, oscar levant,no book found
"Words are, of course, the most powerful drug used by mankind. ― rudyard kipling", rudyard kipling,no book found
People haven't always been there for me but music always has. ― taylor swift, taylor swift,no book found
Wrinkles should merely indicate where the smiles have been. ― mark twain, mark twain,no book found
"Fantasy is escapist, and that is its glory. if a soldier is imprisioned by the enemy, don't we consider it his duty to escape?. . .if we value the freedom of mind and soul, if we're partisans of liberty, then it's our plain duty to escape, and to take as many people with us as we can! ― j.r.r. tolkien", j.r.r. tolkien,no book found
He who has a why to live for can bear almost any how. ― friedrich nietzsche, friedrich nietzsche,no book found
"What i say is, a town isn’t a town without a bookstore. it may call itself a town, but unless it’s got a bookstore, it knows it’s not foolin’ a soul. ― neil gaiman, american gods"," neil gaiman, american gods", american gods
"I am haunted by humans. ― markus zusak, the book thief"," markus zusak, the book thief", the book thief
"Don't order any of the faerie food,"" said jace, looking at her over the top of his menu. ""it tends to make humans a little crazy. one minute you're munching a faerie plum, the next minute you're running naked down madison avenue with antlers on your head. not,"" he added hastily, ""that this has ever happened to me. ― cassandra clare, city of bones"," cassandra clare, city of bones", city of bones
"I can feel peeta press his forehead into my temple and he asks, 'so now that you've got me, what are you going to do with me?' i turn into him. 'put you somewhere you can't get hurt. ― suzanne collins, the hunger games"," suzanne collins, the hunger games", the hunger games
You probably wouldn’t worry about what people think of you if you could know how seldom they do. ― olin miller, olin miller,no book found
Life becomes easier and more beautiful when we can see the good in other people. ― roy t. bennett, roy t. bennett,no book found
"Fear cuts deeper than swords. ― george r.r. martin, a game of thrones"," george r.r. martin, a game of thrones", a game of thrones
The world as we have created it is a process of our thinking. it cannot be changed without changing our thinking. ― albert einstein, albert einstein,no book found
It's not denial. i'm just selective about the reality i accept. ― bill watterson, bill watterson,no book found
"It is amazing how complete is the delusion that beauty is goodness. ― leo tolstoy, the kreutzer sonata"," leo tolstoy, the kreutzer sonata", the kreutzer sonata
"Sometimes crying or laughing are the only options left, and laughing feels better right now. ― veronica roth, divergent"," veronica roth, divergent", divergent
"Vanity and pride are different things, though the words are often used synonymously. a person may be proud without being vain. pride relates more to our opinion of ourselves, vanity to what we would have others think of us. ― jane austen, pride and prejudice"," jane austen, pride and prejudice", pride and prejudice
Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom. ― marcel proust, marcel proust,no book found
