,Author,Book
"Expose yourself to your deepest fear; after that, fear has no power, and the fear of freedom shrinks and vanishes. you are free. ― jim morrison", jim morrison,no book found
"But it is the nature of stars to cross, and never was shakespeare more wrong than when he has cassius note, ‘the fault, dear brutus, is not in our stars / but in ourselves. ― john green, the fault in our stars"," john green, the fault in our stars", the fault in our stars
"Nobody tells this to people who are beginners, i wish someone told me. all of us who do creative work, we get into it because we have good taste. but there is this gap. for the first couple years you make stuff, it’s just not that good. it’s trying to be good, it has potential, but it’s not. but your taste, the thing that got you into the game, is still killer. and your taste is why your work disappoints you. a lot of people never get past this phase, they quit. most people i know who do interesting, creative work went through years of this. we know our work doesn’t have this special thing that we want it to have. we all go through this. and if you are just starting out or you are still in this phase, you gotta know its normal and the most important thing you can do is do a lot of work. put yourself on a deadline so that every week you will finish one story. it is only by going through a volume of work that you will close that gap, and your work will be as good as your ambitions. and i took longer to figure out how to do this than anyone i’ve ever met. it’s gonna take awhile. it’s normal to take awhile. you’ve just gotta fight your way through. ― ira glass", ira glass,no book found
"Don't spend time beating on a wall, hoping to transform it into a door.  ― coco chanel", coco chanel,no book found
"Every book, every volume you see here, has a soul. the soul of the person who wrote it and of those who read it and lived and dreamed with it. every time a book changes hands, every time someone runs his eyes down its pages, its spirit grows and strengthens. ― carlos ruiz zafón, the shadow of the wind"," carlos ruiz zafón, the shadow of the wind", the shadow of the wind
"How nice -- to feel nothing, and still get full credit for being alive. ― kurt vonnegut, slaughterhouse-five"," kurt vonnegut, slaughterhouse-five", slaughterhouse-five
"Atheism turns out to be too simple. if the whole universe has no meaning, we should never have found out that it has no meaning... ― c.s. lewis", c.s. lewis,no book found
"The world is indeed comic, but the joke is on mankind. ― h. p. lovecraft", h. p. lovecraft,no book found
Kindness is a language which the deaf can hear and the blind can see. ― mark twain, mark twain,no book found
"Time doesn’t heal emotional pain, you need to learn how to let go. ― roy t. bennett, the light in the heart"," roy t. bennett, the light in the heart", the light in the heart
"Politeness is deception in pretty packaging. ― veronica roth, divergent"," veronica roth, divergent", divergent
"Without suffering, there'd be no compassion. ― nicholas sparks, a walk to remember"," nicholas sparks, a walk to remember", a walk to remember
"Beautiful face. beautiful body. horrible attitude. it was the holy trinity of hot boys. ― jennifer l. armentrout, obsidian"," jennifer l. armentrout, obsidian", obsidian
"Families are messy. immortal families are eternally messy. sometimes the best we can do is to remind each other that we're related for better or for worse...and try to keep the maiming and killing to a minimum. ― rick riordan, the sea of monsters"," rick riordan, the sea of monsters", the sea of monsters
There is no surer foundation for a beautiful friendship than a mutual taste in literature. ― p.g. wodehouse, p.g. wodehouse,no book found
Follow your inner moonlight; don't hide the madness. ― allen ginsberg, allen ginsberg,no book found
"I am coming to terms with the fact that loving someone requires a leap of faith, and that a soft landing is never guaranteed. ― sarah dessen, this lullaby"," sarah dessen, this lullaby", this lullaby
"In the darkness, two shadows, reaching through the hopeless, heavy dusk. their hands meet, and light spills in a flood like a hundred golden urns pouring out of the sun. ― madeline miller, the song of achilles"," madeline miller, the song of achilles", the song of achilles
"A poem begins as a lump in the throat, a sense of wrong, a homesickness, a lovesickness. ― robert frost", robert frost,no book found
"Mom says it's because she has pms. do you even know what that means? ""i'm not a little kid anymore. it means pissed-at- men syndrome ― nicholas sparks, the last song"," nicholas sparks, the last song", the last song
"There are no facts, only interpretations. ― friedrich nietzsche", friedrich nietzsche,no book found
"Some things don't last forever, but some things do. like a good song, or a good book, or a good memory you can take out and unfold in your darkest times, pressing down on the corners and peering in close, hoping you still recognize the person you see there. ― sarah dessen, this lullaby"," sarah dessen, this lullaby", this lullaby
"The guide says there is an art to flying"", said ford, ""or rather a knack. the knack lies in learning how to throw yourself at the ground and miss. ― douglas adams, life, the universe and everything"," douglas adams, life, the universe and everything", life
"I have the choice of being constantly active and happy or introspectively passive and sad. or i can go mad by ricocheting in between. ― sylvia plath, the unabridged journals of sylvia plath"," sylvia plath, the unabridged journals of sylvia plath", the unabridged journals of sylvia plath
"Would you tell me, please, which way i ought to go from here?"" ""that depends a good deal on where you want to get to."" ""i don't much care where –"" ""then it doesn't matter which way you go. ― lewis carroll, alice in wonderland"," lewis carroll, alice in wonderland", alice in wonderland
"True love is rare, and it's the only thing that gives life real meaning. ― nicholas sparks, message in a bottle"," nicholas sparks, message in a bottle", message in a bottle
"She'd laughed, and if he could have bottled the sound and gotten drunk on it every night, he would have. it terrified him. ― leigh bardugo, six of crows"," leigh bardugo, six of crows", six of crows
"Break my heart. break it a thousand times if you like. it was only ever yours to break anyway. ― kiera cass, the one"," kiera cass, the one", the one
"I’d said it before and meant it: alive or undead, the love of my life was a badass. ― richelle mead, blood promise"," richelle mead, blood promise", blood promise
"If you don't imagine, nothing ever happens at all. ― john green, paper towns"," john green, paper towns", paper towns
"Among other things, you'll find that you're not the first person who was ever confused and frightened and even sickened by human behavior. you're by no means alone on that score, you'll be excited and stimulated to know. many, many men have been just as troubled morally and spiritually as you are right now. happily, some of them kept records of their troubles. you'll learn from them—if you want to. just as someday, if you have something to offer, someone will learn something from you. it's a beautiful reciprocal arrangement. and it isn't education. it's history. it's poetry. ― j.d. salinger, the catcher in the rye"," j.d. salinger, the catcher in the rye", the catcher in the rye
"I don't want to be at the mercy of my emotions. i want to use them, to enjoy them, and to dominate them. ― oscar wilde, the picture of dorian gray"," oscar wilde, the picture of dorian gray", the picture of dorian gray
"I suspect the truth is that we are waiting, all of us, against insurmountable odds, for something extraordinary to happen to us. ― khaled hosseini, and the mountains echoed"," khaled hosseini, and the mountains echoed", and the mountains echoed
"Weeds are flowers, too, once you get to know them. ― a.a. milne", a.a. milne,no book found
"Even the darkest night will end and the sun will rise. ― victor hugo, les misérables"," victor hugo, les misérables", les misérables
"Poets have been mysteriously silent on the subject of cheese. ― g.k. chesterton, alarms and discursions"," g.k. chesterton, alarms and discursions", alarms and discursions
"Why is it,"" he said, one time, at the subway entrance, ""i feel i've known you so many years?"" ""because i like you,"" she said, ""and i don't want anything from you. ― ray bradbury, fahrenheit 451"," ray bradbury, fahrenheit 451", fahrenheit 451
"Declarations of love amuse me. especially when unrequited. ― cassandra clare, city of bones"," cassandra clare, city of bones", city of bones
"People aren't born good or bad. maybe they're born with tendencies either way, but its the way you live your life that matters. ― cassandra clare, city of glass"," cassandra clare, city of glass", city of glass
I love you more than there are stars in the sky and fish in the sea. ― nicholas sparks, nicholas sparks,no book found
"But for my own part, if a book is well written, i always find it too short. ― jane austen", jane austen,no book found
"For me, trees have always been the most penetrating preachers. i revere them when they live in tribes and families, in forests and groves. and even more i revere them when they stand alone. they are like lonely persons. not like hermits who have stolen away out of some weakness, but like great, solitary men, like beethoven and nietzsche. in their highest boughs the world rustles, their roots rest in infinity; but they do not lose themselves there, they struggle with all the force of their lives for one thing only: to fulfil themselves according to their own laws, to build up their own form, to represent themselves. nothing is holier, nothing is more exemplary than a beautiful, strong tree. when a tree is cut down and reveals its naked death-wound to the sun, one can read its whole history in the luminous, inscribed disk of its trunk: in the rings of its years, its scars, all the struggle, all the suffering, all the sickness, all the happiness and prosperity stand truly written, the narrow years and the luxurious years, the attacks withstood, the storms endured. and every young farmboy knows that the hardest and noblest wood has the narrowest rings, that high on the mountains and in continuing danger the most indestructible, the strongest, the ideal trees grow. trees are sanctuaries. whoever knows how to speak to them, whoever knows how to listen to them, can learn the truth. they do not preach learning and precepts, they preach, undeterred by particulars, the ancient law of life. a tree says: a kernel is hidden in me, a spark, a thought, i am life from eternal life. the attempt and the risk that the eternal mother took with me is unique, unique the form and veins of my skin, unique the smallest play of leaves in my branches and the smallest scar on my bark. i was made to form and reveal the eternal in my smallest special detail. a tree says: my strength is trust. i know nothing about my fathers, i know nothing about the thousand children that every year spring out of me. i live out the secret of my seed to the very end, and i care for nothing else. i trust that god is in me. i trust that my labor is holy. out of this trust i live. when we are stricken and cannot bear our lives any longer, then a tree has something to say to us: be still! be still! look at me! life is not easy, life is not difficult. those are childish thoughts. let god speak within you, and your thoughts will grow silent. you are anxious because your path leads away from mother and home. but every step and every day lead you back again to the mother. home is neither here nor there. home is within you, or home is nowhere at all. a longing to wander tears my heart when i hear trees rustling in the wind at evening. if one listens to them silently for a long time, this longing reveals its kernel, its meaning. it is not so much a matter of escaping from one's suffering, though it may seem to be so. it is a longing for home, for a memory of the mother, for new metaphors for life. it leads home. every path leads homeward, every step is birth, every step is death, every grave is mother. so the tree rustles in the evening, when we stand uneasy before our own childish thoughts: trees have long thoughts, long-breathing and restful, just as they have longer lives than ours. they are wiser than we are, as long as we do not listen to them. but when we have learned how to listen to trees, then the brevity and the quickness and the childlike hastiness of our thoughts achieve an incomparable joy. whoever has learned how to listen to trees no longer wants to be a tree. he wants to be nothing except what he is. that is home. that is happiness. ― herman hesse, bäume: betrachtungen und gedichte"," herman hesse, bäume: betrachtungen und gedichte", bäume: betrachtungen und gedichte
A woman's heart should be so hidden in god that a man has to seek him just to find her. ― max lucado, max lucado,no book found
"Beware; for i am fearless, and therefore powerful. ― mary shelley, frankenstein"," mary shelley, frankenstein", frankenstein
"One love, one heart, one destiny. ― robert marley", robert marley,no book found
"Stories may well be lies, but they are good lies that say true things, and which can sometimes pay the rent. ― neil gaiman", neil gaiman,no book found
"If i cannot be better than them, i will become so much worse. ― holly black, the cruel prince"," holly black, the cruel prince", the cruel prince
"Someone i loved once gave me a box full of darkness. it took me years to understand that this too, was a gift. ― mary oliver", mary oliver,no book found
"I'm a grenade and at some point i'm going to blow up and i would like to minimize the casualties, okay? ― john green, the fault in our stars"," john green, the fault in our stars", the fault in our stars
The measure of intelligence is the ability to change. ― albert einstein, albert einstein,no book found
Usually i'm remarkably good natured. try me on a day that doesn't end in y. ― cassandra clare, cassandra clare,no book found
"If you have two friends in your lifetime, you're lucky. if you have one good friend, you're more than lucky. ― s.e. hinton", s.e. hinton,no book found
"One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words. ― johann wolfgang von goethe, wilhelm meister's apprenticeship"," johann wolfgang von goethe, wilhelm meister's apprenticeship", wilhelm meister's apprenticeship
Have enough courage to trust love one more time and always one more time. ― maya angelou, maya angelou,no book found
"When someone leaves, it's because someone else is about to arrive. ― paulo coelho, the zahir"," paulo coelho, the zahir", the zahir
I will not let anyone walk through my mind with their dirty feet. ― mahatma gandhi, mahatma gandhi,no book found
"I'm quite illiterate, but i read a lot.  ― j.d. salinger, the catcher in the rye"," j.d. salinger, the catcher in the rye", the catcher in the rye
"When a man is denied the right to live the life he believes in, he has no choice but to become an outlaw. ― nelson mandela", nelson mandela,no book found
"There was a clatter as the basilisk fangs cascaded out of hermione's arms. running at ron, she flung them around his neck and kissed him full on the mouth. ron threw away the fangs and broomstick he was holding and responded with such enthusiasm that he lifted hermione off her feet. ""is this the moment?"" harry asked weakly, and when nothing happened except that ron and hermione gripped each other still more firmly and swayed on the spot, he raised his voice. ""oi! there's a war going on here!"" ron and hermione broke apart, their arms still around each other. ""i know, mate,"" said ron, who looked as though he had recently been hit on the back of the head with a bludger, ""so it's now or never, isn't it?"" ""never mind that, what about the horcrux?"" harry shouted. ""d'you think you could just --- just hold it in, until we've got the diadem?"" ""yeah --- right --- sorry ---"" said ron, and he and hermione set about gathering up fangs, both pink in the face. ― j.k. rowling, harry potter and the deathly hallows"," j.k. rowling, harry potter and the deathly hallows", harry potter and the deathly hallows
"If you are irritated by every rub, how will your mirror be polished? ― rumi", rumi,no book found
"Don't be satisfied with stories, how things have gone with others. unfold your own myth. ― rumi, the essential rumi"," rumi, the essential rumi", the essential rumi
"People, i have discovered, are layers and layers of secrets. you believe you know them, that you understand them, but their motives are always hidden from you, buried in their own hearts. you will never know them, but sometimes you decide to trust them. ― veronica roth, insurgent"," veronica roth, insurgent", insurgent
"Any fool can be happy. it takes a man with real heart to make beauty out of the stuff that makes us weep. ― clive barker, abarat: days of magic, nights of war"," clive barker, abarat: days of magic, nights of war", abarat: days of magic
"If i should ever die, god forbid, let this be my epitaph: the only proof he needed for the existence of god was music ― kurt vonnegut", kurt vonnegut,no book found
"The greater the love, the greater the tragedy when it's over. ― nicholas sparks, nights in rodanthe"," nicholas sparks, nights in rodanthe", nights in rodanthe
"Every generation imagines itself to be more intelligent than the one that went before it, and wiser than the one that comes after it. ― george orwell", george orwell,no book found
"I want to do with you what spring does with the cherry trees. ― pablo neruda, twenty love poems and a song of despair"," pablo neruda, twenty love poems and a song of despair", twenty love poems and a song of despair
"I'm so glad i live in a world where there are octobers. ― l. m. montgomery, anne of green gables"," l. m. montgomery, anne of green gables", anne of green gables
"When we are no longer able to change a situation, we are challenged to change ourselves. ― viktor e. frankl, man’s search for meaning"," viktor e. frankl, man’s search for meaning", man’s search for meaning
"Time is a drug. too much of it kills you. ― terry pratchett, small gods"," terry pratchett, small gods", small gods
"Acts of kindness: a random act of kindness, no matter how small, can make a tremendous impact on someone else's life. ― roy t. bennett, the light in the heart"," roy t. bennett, the light in the heart", the light in the heart
"The thing about growing up with fred and george,"" said ginny thoughtfully, ""is that you sort of start thinking anything's possible if you've got enough nerve. ― j. k. rowling, harry potter and the half-blood prince"," j. k. rowling, harry potter and the half-blood prince", harry potter and the half-blood prince
In ancient times cats were worshipped as gods; they have not forgotten this. ― terry pratchett, terry pratchett,no book found
"Maybe there's something you're afraid to say, or someone you're afraid to love, or somewhere you're afraid to go. it's gonna hurt. it's gonna hurt because it matters. ― john green, will grayson, will grayson"," john green, will grayson, will grayson", will grayson
The one thing we can never get enough of is love. and the one thing we never give enough of is love. ― henry miller, henry miller,no book found
People can lose their lives in libraries. they ought to be warned. ― saul bellow, saul bellow,no book found
"Would it save you a lot of time if i just gave up and went mad now? ― douglas adams, the hitchhiker’s guide to the galaxy"," douglas adams, the hitchhiker’s guide to the galaxy", the hitchhiker’s guide to the galaxy
"From the moment i picked up your book until i put it down, i was convulsed with laughter. some day i intend reading it. ― groucho marx", groucho marx,no book found
"A learning experience is one of those things that says, 'you know that thing you just did? don't do that. ― douglas adams, the salmon of doubt: hitchhiking the galaxy one last time"," douglas adams, the salmon of doubt: hitchhiking the galaxy one last time", the salmon of doubt: hitchhiking the galaxy one last time
"You only get one life. it's actually your duty to live it as fully as possible. ― jojo moyes, me before you"," jojo moyes, me before you", me before you
"We both have war inside us. sometimes it keeps us alive. sometimes it threatens to destroy us. ― veronica roth, insurgent"," veronica roth, insurgent", insurgent
"Knowledge speaks, but wisdom listens ― jimi hendrix", jimi hendrix,no book found
"Science and religion are not at odds. science is simply too young to understand. ― dan brown, angels & demons"," dan brown, angels & demons", angels & demons
Do you want to know who you are? don't ask. act! action will delineate and define you. ― thomas jefferson, thomas jefferson,no book found
"It's amazing how a little tomorrow can make up for a whole lot of yesterday. ― john guare, landscape of the body"," john guare, landscape of the body", landscape of the body
"Yes, i was infatuated with you: i am still. no one has ever heightened such a keen capacity of physical sensation in me. i cut you out because i couldn't stand being a passing fancy. before i give my body, i must give my thoughts, my mind, my dreams. and you weren't having any of those. ― sylvia plath, the unabridged journals of sylvia plath"," sylvia plath, the unabridged journals of sylvia plath", the unabridged journals of sylvia plath
"I've been homesick for countries i've never been, and longed to be where i couldn't be. ― john cheever", john cheever,no book found
"Still round the corner there may wait a new road or a secret gate and though i oft have passed them by a day will come at last when i shall take the hidden paths that run west of the moon, east of the sun. ― j.r.r. tolkien", j.r.r. tolkien,no book found
"The only way that we can live, is if we grow. the only way that we can grow is if we change. the only way that we can change is if we learn. the only way we can learn is if we are exposed. and the only way that we can become exposed is if we throw ourselves out into the open. do it. throw yourself. ― c. joybell c.", c. joybell c.,no book found
"Respect was invented to cover the empty place where love should be. ― leo tolstoy, anna karenina"," leo tolstoy, anna karenina", anna karenina
"You realize that our mistrust of the future makes it hard to give up the past. ― chuck palahniuk, survivor"," chuck palahniuk, survivor", survivor
"Let's think the unthinkable, let's do the undoable. let us prepare to grapple with the ineffable itself, and see if we may not eff it after all. ― douglas adams, dirk gently's holistic detective agency"," douglas adams, dirk gently's holistic detective agency", dirk gently's holistic detective agency
"She seems so cool, so focused, so quiet, yet her eyes remain fixed upon the horizon. you think you know all there is to know about her immediately upon meeting her, but everything you think you know is wrong. passion flows through her like a river of blood. she only looked away for a moment, and the mask slipped, and you fell. all your tomorrows start here. ― neil gaiman, fragile things: short fictions and wonders"," neil gaiman, fragile things: short fictions and wonders", fragile things: short fictions and wonders
Love the life you live. live the life you love. ― bob marley, bob marley,no book found
"I am not afraid of storms, for i am learning how to sail my ship. ― louisa may alcott, little women"," louisa may alcott, little women", little women
"I believe a strong woman may be stronger than a man, particularly if she happens to have love in her heart. i guess a loving woman is indestructible. ― john steinbeck, east of eden"," john steinbeck, east of eden", east of eden
"Great minds are always feared by lesser minds. ― dan brown, the lost symbol"," dan brown, the lost symbol", the lost symbol
"I am looking for friends. what does that mean -- tame?"" ""it is an act too often neglected,"" said the fox. ""it means to establish ties."" ""to establish ties?"" ""just that,"" said the fox. ""to me, you are still nothing more than a little boy who is just like a hundred thousand other little boys. and i have no need of you. and you, on your part, have no need of me. to you i am nothing more than a fox like a hundred thousand other foxes. but if you tame me, then we shall need each other. to me, you will be unique in all the world. to you, i shall be unique in all the world.... ― antoine de saint-exupéry, the little prince"," antoine de saint-exupéry, the little prince", the little prince
"Even if you are on the right track, you’ll get run over if you just sit there. ― will rogers", will rogers,no book found
"Our story has three parts: a beginning, a middle, and an end. and although this is the way all stories unfold, i still can't believe that ours didn't go on forever. ― nicholas sparks, dear john"," nicholas sparks, dear john", dear john
"Of all the trees we could've hit, we had to get one that hits back. ― j.k. rowling, harry potter and the chamber of secrets"," j.k. rowling, harry potter and the chamber of secrets", harry potter and the chamber of secrets
"Being alone never felt right. sometimes it felt good, but it never felt right. ― charles bukowski, women"," charles bukowski, women", women
"And he took her in his arms and kissed her under the sunlit sky, and he cared not that they stood high upon the walls in the sight of many. ― j.r.r. tolkien", j.r.r. tolkien,no book found
"If you hate a person, you hate something in him that is part of yourself. what isn't part of ourselves doesn't disturb us. ― hermann hesse, demian"," hermann hesse, demian", demian
"The past is always tense, the future perfect. ― zadie smith", zadie smith,no book found
"Great heroes need great sorrows and burdens, or half their greatness goes unnoticed. it is all part of the fairy tale. ― peter s. beagle, the last unicorn"," peter s. beagle, the last unicorn", the last unicorn
"The mark of the immature man is that he wants to die nobly for a cause, while the mark of the mature man is that he wants to live humbly for one. ― j.d. salinger, the catcher in the rye"," j.d. salinger, the catcher in the rye", the catcher in the rye
"I hope you're pleased with yourselves. we could all have been killed - or worse, expelled. now if you don't mind, i'm going to bed. ― j.k. rowling, harry potter and the sorcerer's stone"," j.k. rowling, harry potter and the sorcerer's stone", harry potter and the sorcerer's stone
"I'd rather die on an adventure than live standing still. ― v.e. schwab, a darker shade of magic"," v.e. schwab, a darker shade of magic", a darker shade of magic
"To be fully seen by somebody, then, and be loved anyhow - this is a human offering that can border on miraculous. ― elizabeth gilbert, committed: a skeptic makes peace with marriage"," elizabeth gilbert, committed: a skeptic makes peace with marriage", committed: a skeptic makes peace with marriage
Is man merely a mistake of god's? or god merely a mistake of man? ― friedrich nietzsche, friedrich nietzsche,no book found
"What she had realized was that love was that moment when your heart was about to burst. ― stieg larsson, the girl with the dragon tattoo"," stieg larsson, the girl with the dragon tattoo", the girl with the dragon tattoo
"I always arrive late at the office, but i make up for it by leaving early. ― charles lamb", charles lamb,no book found
There's nowhere you can be that isn't where you're meant to be... ― john lennon, john lennon,no book found
"I kept always two books in my pocket, one to read, one to write in. ― robert louis stevenson, essays of robert louis stevenson"," robert louis stevenson, essays of robert louis stevenson", essays of robert louis stevenson
"Where words leave off, music begins. ― heinrich heine", heinrich heine,no book found
"It's much easier to not know things sometimes. things change and friends leave. and life doesn't stop for anybody. i wanted to laugh. or maybe get mad. or maybe shrug at how strange everybody was, especially me. i think the idea is that every person has to live for his or her own life and than make the choice to share it with other people. you can't just sit their and put everybody's lives ahead of yours and think that counts as love. you just can't. you have to do things. i'm going to do what i want to do. i'm going to be who i really am. and i'm going to figure out what that is. and we could all sit around and wonder and feel bad about each other and blame a lot of people for what they did or didn't do or what they didn't know. i don't know. i guess there could always be someone to blame. it's just different. maybe it's good to put things in perspective, but sometimes, i think that the only perspective is to really be there. because it's okay to feel things. i was really there. and that was enough to make me feel infinite. i feel infinite. ― stephen chbosky, the perks of being a wallflower"," stephen chbosky, the perks of being a wallflower", the perks of being a wallflower
"We sit silently and watch the world around us. this has taken a lifetime to learn. it seems only the old are able to sit next to one another and not say anything and still feel content. the young, brash and impatient, must always break the silence. it is a waste, for silence is pure. silence is holy. it draws people together because only those who are comfortable with each other can sit without speaking. this is the great paradox. ― nicholas sparks, the notebook"," nicholas sparks, the notebook", the notebook
Sometimes things fall apart so that better things can fall together ― marilyn monroe, marilyn monroe,no book found
"In the end these things matter most: how well did you love? how fully did you live? how deeply did you let go? ― jack kornfield, buddha's little instruction book"," jack kornfield, buddha's little instruction book", buddha's little instruction book
Do not think that love in order to be genuine has to be extraordinary. what we need is to love without getting tired. be faithful in small things because it is in them that your strength lies. ― mother teresa, mother teresa,no book found
"We are all someone's monster. ― leigh bardugo, six of crows"," leigh bardugo, six of crows", six of crows
Words dazzle and deceive because they are mimed by the face. but black words on a white page are the soul laid bare. ― guy de maupassant, guy de maupassant,no book found
"What of art? -it is a malady. --love? -an illusion. --religion? -the fashionable substitute for belief. --you are a sceptic. -never! scepticism is the beginning of faith. --what are you? -to define is to limit. ― oscar wilde , the picture of dorian gray"," oscar wilde , the picture of dorian gray", the picture of dorian gray
"Do not read as children do to enjoy themselves, or, as the ambitious do to educate themselves. no, read to live. ― gustave flaubert", gustave flaubert,no book found
"If you have good friends, no matter how much life is sucking , they can make you laugh. ― p.c. cast  kristin cast", p.c. cast  kristin cast,no book found
"I hope you will have a wonderful year, that you'll dream dangerously and outrageously, that you'll make something that didn't exist before you made it, that you will be loved and that you will be liked, and that you will have people to love and to like in return. and, most importantly (because i think there should be more kindness and more wisdom in the world right now), that you will, when you need to be, be wise, and that you will always be kind. ― neil gaiman", neil gaiman,no book found
"Curiouser and curiouser! ― lewis carroll, alice in wonderland"," lewis carroll, alice in wonderland", alice in wonderland
"The only thing better than imagining dimitri carrying me in his arms was imagining him shirtless while carrying me in his arms. ― richelle mead, vampire academy"," richelle mead, vampire academy", vampire academy
The earth laughs in flowers. ― ralph waldo emerson, ralph waldo emerson,no book found
A smile is a curve that sets everything straight. ― phyllis diller, phyllis diller,no book found
"If the moon smiled, she would resemble you. you leave the same impression of something beautiful, but annihilating. ― sylvia plath, ariel: the restored edition"," sylvia plath, ariel: the restored edition", ariel: the restored edition
"Kind words can be short and easy to speak, but their echoes are truly endless. ― mother teresa", mother teresa,no book found
Shut your eyes and see. ― james joyce, james joyce,no book found
"If you're texting magnus to say 'i think u r kewl,' i'm going to kill you."" ""who's magnus?"" max inquired. ""he's a warlock,"" said alec. ""a sexy, sexy warlock,"" isabelle told max, ignoring alec's look of total fury. ""but warlocks are bad,"" protested max, looking baffled. ""exactly,"" said isabelle. ― cassandra clare, city of glass"," cassandra clare, city of glass", city of glass
"For to know a man's library is, in some measure, to know his mind. ― geraldine brooks, march"," geraldine brooks, march", march
What is right is not always popular and what is popular is not always right. ― albert einstein, albert einstein,no book found
Do not set aside your happiness. do not wait to be happy in the future. the best time to be happy is always now. ― roy t. bennett, roy t. bennett,no book found
The way to get started is to quit talking and begin doing.  ― walt disney, walt disney,no book found
Maybe this world is another planet’s hell. ― aldous huxley, aldous huxley,no book found
"Well, she's not responding to my advances,"" he observed more brightly than he felt, ""so she must be dead."" ""or she's a woman of good taste and sense. ― cassandra clare, clockwork angel"," cassandra clare, clockwork angel", clockwork angel
"If i read a book and it makes my whole body so cold no fire can ever warm me, i know that is poetry. ― emily dickinson", emily dickinson,no book found
"The course of true love never did run smooth; but, either it was different in blood, o cross! too high to be enthrall’d to low. or else misgraffed in respect of years, o spite! too old to be engag’d to young. or else it stood upon the choice of friends, o hell! to choose love by another’s eye. ― william shakespeare, a midsummer night’s dream"," william shakespeare, a midsummer night’s dream", a midsummer night’s dream
"I know how devastated you must be to miss me, but leave a message, and i'll try to ease your agony ― richelle mead, blood promise"," richelle mead, blood promise", blood promise
Children learn more from what you are than what you teach. ― w.e.b. dubois, w.e.b. dubois,no book found
The desire to reach for the stars is ambitious. the desire to reach hearts is wise. ― maya angelou, maya angelou,no book found
"Tiger got to hunt, bird got to fly; man got to sit and wonder 'why, why, why?' tiger got to sleep, bird got to land; man got to tell himself he understand. ― kurt vonnegut, cat’s cradle"," kurt vonnegut, cat’s cradle", cat’s cradle
"Grown-ups never understand anything by themselves, and it is tiresome for children to be always and forever explaining things to them ― antoine de saint-exupéry, the little prince"," antoine de saint-exupéry, the little prince", the little prince
"God alert!"" blackjack yelled. ""it's the wine dude! mr. d sighed in exasperation. ""the next person, or horse, who calls me the 'wine dude' will end up in a bottle of merlot! ― rick riordan, the titan’s curse"," rick riordan, the titan’s curse", the titan’s curse
"Luxury is not a necessity to me, but beautiful and good things are. ― anais nin", anais nin,no book found
"Good sex is like good bridge. if you don't have a good partner, you'd better have a good hand. ― mae west", mae west,no book found
"There's a bluebird in my heart that wants to get out but i'm too tough for him, i say, stay in there, i'm not going to let anybody see you. ― charles bukowski", charles bukowski,no book found
"Five exclamation marks, the sure sign of an insane mind. ― terry pratchett, reaper man"," terry pratchett, reaper man", reaper man
No good deed goes unpunished. ― oscar wilde, oscar wilde,no book found
"What is straight? a line can be straight, or a street, but the human heart, oh, no, it's curved like a road through mountains. ― tennessee williams, a streetcar named desire"," tennessee williams, a streetcar named desire", a streetcar named desire
"I am not what happened to me, i am what i choose to become. ― carl gustav jung", carl gustav jung,no book found
How do i love thee? let me count the ways. i love thee to the depth and breadth and height my soul can reach ― elizabeth barrett browning, elizabeth barrett browning,no book found
"District 12: where you can starve to death in safety. ― suzanne collins, the hunger games"," suzanne collins, the hunger games", the hunger games
"Talking to a drunk person was like talking to an extremely happy, severely brain-damaged three-year-old. ― john green, paper towns"," john green, paper towns", paper towns
"Love is like a tree: it grows by itself, roots itself deeply in our being and continues to flourish over a heart in ruin. the inexplicable fact is that the blinder it is, the more tenacious it is. it is never stronger than when it is completely unreasonable. ― victor hugo, the hunchback of notre-dame"," victor hugo, the hunchback of notre-dame", the hunchback of notre-dame
Sex is part of nature. i go along with nature. ― marilyn monroe, marilyn monroe,no book found
"Jane, be still; don't struggle so like a wild, frantic bird, that is rending its own plumage in its desperation."" ""i am no bird; and no net ensnares me; i am a free human being, with an independent will; which i now exert to leave you. ― charlotte brontë , jane eyre"," charlotte brontë , jane eyre", jane eyre
"It was a bright cold day in april, and the clocks were striking thirteen. ― george orwell, 1984"," george orwell, 1984",1984
"When someone you love dies, and you're not expecting it, you don't lose her all at once; you lose her in pieces over a long time—the way the mail stops coming, and her scent fades from the pillows and even from the clothes in her closet and drawers. gradually, you accumulate the parts of her that are gone. just when the day comes—when there's a particular missing part that overwhelms you with the feeling that she's gone, forever—there comes another day, and another specifically missing part. ― john irving, a prayer for owen meany"," john irving, a prayer for owen meany", a prayer for owen meany
"Reading one book is like eating one potato chip. ― diane duane, so you want to be a wizard"," diane duane, so you want to be a wizard", so you want to be a wizard
"And that's the thing about people who mean everything they say. they think everyone else does too. ― khaled hosseini, the kite runner"," khaled hosseini, the kite runner", the kite runner
"A classic is a book that has never finished saying what it has to say. ― italo calvino, the uses of literature"," italo calvino, the uses of literature", the uses of literature
"Remember that wherever your heart is, there you will find your treasure. ― paulo coelho, the alchemist"," paulo coelho, the alchemist", the alchemist
"If you want to forget something or someone, never hate it, or never hate him/her. everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate. ― c. joybell c.", c. joybell c.,no book found
